"","YEAR","AGE","income_bound","EDUC","female","religious","married","widowed","divorced","separated","have_children","white","happy","ft_employed","pt_employed","unemployed","retired","in_education","home_maker","work_status_other","c_age"
"1",1991,61,7,12,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,14.6538857163126
"2",1991,32,21,20,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,-14.3461142836874
"3",1991,35,21,20,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-11.3461142836874
"5",1991,25,9,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-21.3461142836874
"6",1991,59,5,10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,12.6538857163126
"8",1991,99,6,16,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,52.6538857163126
"9",1991,57,8,10,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,10.6538857163126
"10",1991,64,21,14,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,17.6538857163126
"11",1991,72,14,9,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,25.6538857163126
"12",1991,67,13,12,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,20.6538857163126
"13",1991,33,21,15,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,-13.3461142836874
"14",1991,23,13,14,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-23.3461142836874
"15",1991,33,15,12,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,-13.3461142836874
"17",1991,60,17,14,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,13.6538857163126
"18",1991,77,15,9,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,30.6538857163126
"19",1991,52,21,14,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,5.65388571631256
"20",1991,55,18,7,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,8.65388571631256
"21",1991,37,11,14,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-9.34611428368744
"22",1991,45,4,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.34611428368744
"24",1991,35,15,9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-11.3461142836874
"25",1991,35,6,13,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-11.3461142836874
"26",1991,47,4,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.653885716312558
"27",1991,24,9,11,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,-22.3461142836874
"28",1991,28,15,12,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-18.3461142836874
"29",1991,57,21,19,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,10.6538857163126
"30",1991,44,21,18,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,-2.34611428368744
"31",1991,75,13,14,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,28.6538857163126
"32",1991,58,16,16,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,11.6538857163126
"34",1991,22,21,14,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-24.3461142836874
"35",1991,44,21,17,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,-2.34611428368744
